RGB:          255, 255, 255;
South_Walk:   3, 3, 16, 31, 54;
East_Walk:    3, 35, 16, 31, 54;
North_Walk:   3, 67, 14, 31, 48;
West_Walk:    3, 99, 16, 31, 54;
Damage_Taken: 3, 131, 22, 29;
Weak:         3, 128, 20, 24;
Dead:         3, 149, 32, 16;
Attack:       3, 203, 20, 29;
Niveau 1:
Jet_de_pierre , 0, 0 - 0, Attaque_un_ennemi , -1, 0 ;
Eclair_tumultueux , 5, 0 - 0, Attaque_un_ennemi , -1, 0 ;
Eclat_stellaire , 15, 0-0, Attaque_3x_aleatoirement , -1, 1 ;
Niveau 5: Spores_celeste , 15, -1 - -1, Restaure_15%_la_sante , 15, 3 ;
Niveau 10: Volonte_bienfaisante , 15, -1 - -1, Une_chance_sur_trois_d'endormir_l'ennemi_pendant_2_tours , -1, -1 ;
Niveau 15: Coup_de_tonnerre , 10, 0 - 0, Attaque_un_ennemi , -1, 0 ;
Niveau 20: Vortex_d'elements , 20, 0 - 0, Attaque_tous_les_ennemies , -1, -1 ;
Niveau 25: Transfiguration , 25, -1 - -1, Endors_l'ennemi_pendant_2_tours , -1, -1 ;
Niveau 30: Raz-de-maree , 25, 0 - 0, Attaque_3x_aleatoirement , -1, 1 ;
Niveau 35: Magie_instable , 30, -1 - -1, Une_chance_sur_trois_de_tuer_l'ennemi , 3, 5 ;
Niveau 40: Consecration , 20, -1 - -1, Restaure_35%_de_la_sante , 15, 3 ;
Niveau 45: Blizzard , 20, 0 - 0, Attaque_un_ennemi , -1, 0 ;
Niveau 50: Fureur_divine , 50, -1 - -1, Mana_gratuit_pendant_3_tours , -1, -1 ;
